starttime	seconds	ctime	dtime	ttime	wait
Thu Jan 09 15:47:18 2025	1736434038	1	120	122	119
Thu Jan 09 15:47:18 2025	1736434038	0	121	122	120
Thu Jan 09 15:47:18 2025	1736434038	0	121	122	121
Thu Jan 09 15:47:23 2025	1736434043	0	122	122	104
Thu Jan 09 15:47:18 2025	1736434038	0	122	122	111
Thu Jan 09 15:47:21 2025	1736434041	0	122	122	91
Thu Jan 09 15:47:23 2025	1736434043	0	122	122	121
Thu Jan 09 15:47:24 2025	1736434044	1	122	122	105
Thu Jan 09 15:47:18 2025	1736434038	0	122	122	75
Thu Jan 09 15:47:24 2025	1736434044	0	122	122	122
Thu Jan 09 15:47:20 2025	1736434040	0	122	123	77
Thu Jan 09 15:47:19 2025	1736434039	0	123	123	63
Thu Jan 09 15:47:20 2025	1736434040	0	123	123	110
Thu Jan 09 15:47:24 2025	1736434044	0	123	123	118
Thu Jan 09 15:47:22 2025	1736434042	0	124	124	96
Thu Jan 09 15:47:24 2025	1736434044	0	124	124	106
Thu Jan 09 15:47:21 2025	1736434041	0	124	125	96
Thu Jan 09 15:47:21 2025	1736434041	1	124	125	69
Thu Jan 09 15:47:17 2025	1736434037	0	125	125	101
Thu Jan 09 15:47:23 2025	1736434043	0	125	125	63
Thu Jan 09 15:47:19 2025	1736434039	1	125	125	118
Thu Jan 09 15:47:16 2025	1736434036	9	116	125	115
Thu Jan 09 15:47:22 2025	1736434042	2	124	125	108
