starttime	seconds	ctime	dtime	ttime	wait
Thu Jan 09 15:45:14 2025	1736433914	0	533	533	532
Thu Jan 09 15:45:03 2025	1736433903	3	531	534	490
Thu Jan 09 15:45:12 2025	1736433912	0	535	535	63
Thu Jan 09 15:45:13 2025	1736433913	0	535	535	530
Thu Jan 09 15:45:07 2025	1736433907	0	536	536	516
Thu Jan 09 15:45:05 2025	1736433905	0	536	536	527
Thu Jan 09 15:45:05 2025	1736433905	0	536	537	174
Thu Jan 09 15:45:13 2025	1736433913	0	536	537	512
Thu Jan 09 15:45:08 2025	1736433908	0	536	537	527
Thu Jan 09 15:45:05 2025	1736433905	0	537	537	92
Thu Jan 09 15:45:08 2025	1736433908	0	538	538	511
Thu Jan 09 15:45:14 2025	1736433914	0	538	538	531
Thu Jan 09 15:45:04 2025	1736433904	0	538	539	537
Thu Jan 09 15:45:14 2025	1736433914	0	539	539	153
Thu Jan 09 15:45:04 2025	1736433904	0	540	541	537
Thu Jan 09 15:45:08 2025	1736433908	0	540	541	533
Thu Jan 09 15:45:13 2025	1736433913	0	541	541	465
Thu Jan 09 15:45:12 2025	1736433912	1	541	541	140
Thu Jan 09 15:45:05 2025	1736433905	0	542	542	531
Thu Jan 09 15:45:10 2025	1736433910	0	543	543	542
Thu Jan 09 15:45:12 2025	1736433912	0	543	543	65
Thu Jan 09 15:45:12 2025	1736433912	0	544	544	60
